Дисциплина;Ссылка на материалы
Теория языка 2 курс;https://disk.yandex.ru/d/5MJGzsh-ecsn3Q
Теория языка 3 курс;https://disk.yandex.ru/d/hnf6fcSt0o5nnA
Немецкий язык;https://drive.google.com/drive/folders/19SOG_19WdI4wNh0TB6oGClJAjAv5nFD2
Французский язык;https://disk.yandex.ru/d/NQfQFfCVPTL53A
Функциональная стилистика;https://disk.yandex.ru/d/DjNMl7rrc_uahg
"НИС ""Анализ и синтез звучащей речи""";https://disk.yandex.ru/d/EdqqcDWHtxUi6g
Технологии разработки баз данных;https://drive.google.com/drive/folders/1ZRdBl8JyGwZ6jQZDA0fL7pHYDm6Ad2lG?usp=sharing
